ID,Group,z,Lx
197038,RED,0.518,42.88484201699301
201680,RED,0.818,nan
204337,RED,0.623,42.8252779046081
215821,RED,1.287,nan
216308,RED,3.3632,nan
221280,RED,2.2348,nan
221793,RED,1.9672,nan
221933,RED,3.4885,nan
223756,RED,2.0787,nan
223968,RED,1.3709,nan
224665,RED,2.3011,nan
226472,RED,2.3249,nan
228653,RED,3.4372,nan
230426,RED,2.5113,nan
234745,RED,1.0769,nan
238114,RED,1.4219,nan
239310,RED,1.154,nan
239627,RED,1.7982,nan
240778,RED,2.1029,nan
243027,RED,2.0661,nan
245362,RED,2.4983,nan
251243,RED,0.7507,nan
251852,RED,2.0037,nan
253510,RED,2.2262,nan
255123,RED,0.775,42.942910082793766
256906,RED,1.3434,nan
257247,RED,1.8101,nan
257886,RED,1.891,nan
258594,RED,2.5895,nan
259215,RED,1.8742,nan
261822,RED,2.6109,nan
266916,RED,2.8553,nan
272293,RED,3.0311,nan
272738,RED,2.1673,nan
273260,RED,2.2324,nan
274051,RED,0.8987,nan
275098,RED,1.5843,nan
275452,RED,1.9147,nan
275629,RED,0.7152,nan
278202,RED,0.339,nan
278898,RED,2.7799,nan
279689,RED,1.676,nan
280625,RED,2.531,nan
281548,RED,3.6521,nan
283629,RED,1.0724,nan
284435,RED,3.2311,nan
285385,RED,1.1325,nan
285984,RED,1.7195,nan
287155,RED,2.3376,nan
287834,RED,3.8179,nan
288793,RED,1.3949,nan
303302,RED,0.0152,nan
303625,RED,1.8635,nan
304818,RED,2.344,nan
304928,RED,1.44,nan
307055,RED,2.5912,nan
308287,RED,0.2843,nan
309365,RED,4.1266,nan
311246,RED,1.4535,nan
314341,RED,2.2387,nan
314722,RED,1.9242,nan
314810,RED,3.4992,nan
317748,RED,1.4485,nan
317991,RED,2.6778,nan
318426,RED,2.6902,nan
321176,RED,2.3255,nan
325140,RED,3.3145,nan
325177,RED,2.3426,nan
328457,RED,0.5545,nan
330332,RED,2.1312,nan
333394,RED,0.672,42.606140148675216
335753,RED,3.2182,nan
337738,RED,1.7792,nan
338083,RED,2.8974,nan
338765,RED,2.4116,nan
340238,RED,3.7672,nan
343447,RED,1.6812,nan
345290,RED,2.6222,nan
346443,RED,3.6109,nan
347369,RED,2.9687,nan
347873,RED,2.6066,nan
348191,RED,3.4344,nan
348999,RED,2.5976,nan
351641,RED,0.4201,nan
351929,RED,3.3562,nan
352012,RED,1.4855,nan
352229,RED,1.5087,nan
352947,RED,1.6324,nan
354213,RED,1.6347,nan
354871,RED,3.1138,nan
356643,RED,1.1317,nan
356973,RED,1.8353,nan
357444,RED,1.339,nan
359584,RED,2.627,nan
360003,RED,1.6555,nan
361365,RED,2.0865,nan
361844,RED,2.7174,nan
362846,RED,2.4227,nan
363407,RED,1.7094,nan
366352,RED,1.1517,nan
367234,RED,1.7191,nan
370490,RED,0.934,42.90599822998047
371377,RED,1.3701,nan
372919,RED,3.4913,nan
374655,RED,3.9903,nan
375204,RED,1.2343,nan
378815,RED,0.66,42.90749253316995
379110,RED,0.394,42.38484201699301
380494,RED,2.8422,nan
381942,RED,2.2061,nan
383334,RED,2.0933,nan
389479,RED,1.8841,nan
391780,RED,0.3372,nan
392551,RED,4.2422,nan
395780,RED,2.5862,nan
396322,RED,2.8342,nan
398483,RED,3.1838,nan
398986,RED,1.9794,nan
399890,RED,1.7847,nan
401271,RED,0.5745,nan
402222,RED,0.753,nan
402379,RED,2.1346,nan
403459,RED,1.9062,nan
404550,RED,3.6732,nan
406283,RED,0.7702,nan
406312,RED,2.6345,nan
408892,RED,3.2302,nan
410459,RED,2.2219,nan
410490,RED,0.969,42.99800109863281
411095,RED,2.8543,nan
411456,RED,1.2175,nan
413145,RED,2.6918,nan
415894,RED,2.2957,nan
417645,RED,0.66,nan
418665,RED,1.3219,nan
420753,RED,2.7238,nan
421977,RED,2.6721,nan
423114,RED,1.8704,nan
423620,RED,3.1207,nan
424758,RED,0.3728,nan
425969,RED,3.2926,nan
426235,RED,2.3268,nan
